Microcontrollers & microprocessors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part Number,General Description,Marketing Status,Package,Core,Operating Frequency (MHz),FPU,Co-Processor type,Co-Processor frequency (MHz) max,Flash Size (kB) (Prog),Dual-bank Flash,Data E2PROM (B) nom,RAM Size (kB),CCM RAM (I/D) (kByte) typ,ITCM/DTCM RAM (kB),Timers (16-bit) typ,Timers (32-bit) typ,Other timer functions,A/D Converters 12-bit,,A/D Converters 14-bit,,A/D Converters 16-bit,,D/A Converters (12-bit) typ,Comparator,Integrated op-amps,I/Os (High Current),SMPS,Display controller,Graphic accelerator,CAN (FD),CAN (2.0),I2C typ,SPI typ,I2S typ,USART typ,UART typ,Ethernet,Ethernet ports typ,I3C typ,Additional Interfaces,External Memory Interfaces,USB Type,Cryptography,Security Functions,Supply Voltage (V) min,Supply Voltage (V) max,Supply Current (µA) (@ Lowest Power) typ,Supply Current (µA) (Run Mode (per MHz)) typ,Operating Temperature (°C) min,Operating Temperature (°C) max,Output Power (dBm) min,Output Power (dBm) max,RX current (mA) typ,RX sensitivity (dBm) typ,Standby Current (µA) typ,TX current (mA) (@ 0dBm) max,Output Power (dBm) (Step) typ,Buy On Line,Number of Cores nom,,,,,,
STM32G4A1ME,"Mainstream Arm Cortex-M4 MCU 170 MHz with 512 Kbytes of Flash memory, Math Accelerator, Medium Analog level integration, Crypto",Active,"LQFP 80 12x12x1.4 mm, LQFP 80 14x14x1.4 mm",Arm Cortex-M4,170,Single-precision FPU,"Cordic, FMAC",170,-,512,No,-,112,16,-,11,1,"Dual Watchdog, RTC, SysTick",3,32,-,-,-,-,4,4,4,66,-,-,-,-,2,-,3,3,2,3,2,-,-,-,SAI,Quad SPI,Yes,"USB Device, USB FS, USB Type-C",AES,-,1.71,3.6,-,-,-40,125,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32G4A1RE,"Mainstream Arm Cortex-M4 MCU 170 MHz with 512 Kbytes of Flash memory, Math Accelerator, High Analog level integration, Crypto",Active,"LQFP 64 10x10x1.4 mm, UFBGA 64 5x5x0.6 P 0.5 mm, WLCSP 64 3.5x3.6x0.6 P 0.4 mm",Arm Cortex-M4,170,Single-precision FPU,"Cordic, FMAC",170,-,512,No,-,112,16,-,11,1,"Dual Watchdog, RTC, SysTick",3,24,-,-,-,-,4,4,4,52,-,-,-,-,2,-,3,3,2,3,2,-,-,-,SAI,Quad SPI,Yes,"USB Device, USB FS, USB Type-C",AES,-,1.71,3.6,-,-,-40,125,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32G4A1VE,"Mainstream Arm Cortex-M4 MCU 170 MHz with 512 Kbytes of Flash memory, Math Accelerator, High Analog level integration, Crypto",Active,LQFP 100 14x14x1.4 mm,Arm Cortex-M4,170,Single-precision FPU,"Cordic, FMAC",170,-,512,No,-,112,16,-,11,1,"Dual Watchdog, RTC, SysTick",3,36,-,-,-,-,4,4,4,86,-,-,-,-,2,-,3,3,2,3,2,-,-,-,SAI,Quad SPI,Yes,"USB Device, USB FS, USB Type-C",AES,-,1.71,3.6,-,-,-40,85,-,-,-,-,-,-,-,No,-,-,-,-
STM32H503CB,"High-performance, Arm Cortex-M33, MCU with 128-Kbyte Flash, 32-Kbyte RAM, 250 MHz CPU",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm",Arm Cortex-M33,250,Single-precision FPU,-,-,8 + 8,128,Yes,-,32,-,-,5,1,"Dual Watchdog, RTC, SysTick",1,10,-,-,-,-,2,1,1,35,-,-,-,-,1,-,2,3,3,3,1,-,-,2,-,-,Yes,USB FS,"HMAC, SHA-1, SHA-2, TRNG","Secure Boot, Silicon Device Lifecycle",1.62,3.6,0.03,80,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H503EB,"High-performance, Arm Cortex-M33, MCU with 128-Kbyte Flash, 32-Kbyte RAM, 250 MHz CPU",Active,WLCSP 25 2.33x2.24x0.6 P 0.4 mm,Arm Cortex-M33,250,Single-precision FPU,-,-,8 + 8,128,Yes,-,32,-,-,5,1,"Dual Watchdog, RTC, SysTick",1,10,-,-,-,-,2,1,1,19,-,-,-,-,1,-,2,3,3,3,1,-,-,2,-,-,Yes,USB FS,"HMAC, SHA-1, SHA-2, TRNG","Secure Boot, Silicon Device Lifecycle",1.62,3.6,0.03,80,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H503KB,"High-performance, Arm Cortex-M33, MCU with 128-Kbyte Flash, 32-Kbyte RAM, 250 MHz CPU",Active,UFQFPN 32 5x5x0.55 mm,Arm Cortex-M33,250,Single-precision FPU,-,-,8 + 8,128,Yes,-,32,-,-,6,1,"Dual Watchdog, RTC, SysTick",1,10,-,-,-,-,1,1,1,24,-,-,-,-,1,-,2,3,3,3,1,-,-,2,-,-,Yes,USB FS,"HMAC, SHA-1, SHA-2, TRNG","Secure Boot, Silicon Device Lifecycle",1.62,3.6,0.03,80,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H503RB,"High-performance, Arm Cortex-M33, MCU with 128-Kbyte Flash, 32-Kbyte RAM, 250 MHz CPU",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M33,250,Single-precision FPU,-,-,8 + 8,128,Yes,-,32,-,-,5,1,"Dual Watchdog, RTC, SysTick",1,16,-,-,-,-,2,1,1,49,-,-,-,-,1,-,2,3,3,3,1,-,-,2,-,-,Yes,USB FS,"HMAC, SHA-1, SHA-2, TRNG","Secure Boot, Silicon Device Lifecycle",1.62,3.6,0.03,80,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H523CC,"High-performance, Arm Cortex-M33, MCU with 256-Kbyte Flash, 272-Kbyte RAM, 250 MHz CPU",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm",Arm Cortex-M33,250,Single-precision FPU,-,-,8 + 4,256,Yes,-,272,-,-,5,2,"Dual Watchdog, RTC, SysTick",2,10,-,-,-,-,1,-,1,-,-,-,-,-,2,-,3,4,3,3,4,-,-,2,SD/MMC,"FMC, Octo SPI",No,USB FS,"ECDSA, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,-,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H523CE,"High-performance, Arm Cortex-M33, MCU with 512-Kbyte Flash, 272-Kbyte RAM, 250 MHz CPU",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm",Arm Cortex-M33,250,Single-precision FPU,-,-,8 + 4,512,Yes,-,272,-,-,5,2,"Dual Watchdog, RTC, SysTick",2,10,-,-,-,-,1,-,1,-,-,-,-,-,-,-,3,4,3,3,4,-,-,2,-,"FMC, Octo SPI",No,USB FS,"ECDSA, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H523HE,"High-performance, Arm Cortex-M33, MCU with 512-Kbyte Flash, 272-Kbyte RAM, 250 MHz CPU",Active,WLCSP 39 2.76x2.78x0.58 P 0.4 mm,Arm Cortex-M33,250,Single-precision FPU,-,-,8 + 4,512,Yes,-,272,-,-,5,2,"Dual Watchdog, RTC, SysTick",2,10,-,-,-,-,1,-,1,-,-,-,-,-,-,-,2,3,2,3,4,-,-,2,SD/MMC,"FMC, Octo SPI",No,USB FS,"ECDSA, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H523RC,"High-performance, Arm Cortex-M33, MCU with 256-Kbyte Flash, 272-Kbyte RAM, 250 MHz CPU",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M33,250,Single-precision FPU,-,-,8 + 4,256,Yes,-,272,-,-,5,2,"Dual Watchdog, RTC, SysTick",2,16,-,-,-,-,1,-,1,-,-,-,-,-,2,-,3,4,3,3,4,-,-,2,SD/MMC,"FMC, Octo SPI",No,USB FS,"ECDSA, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,-,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H523RE,"High-performance, Arm Cortex-M33, MCU with 512-Kbyte Flash, 272-Kbyte RAM, 250 MHz CPU",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M33,250,Single-precision FPU,-,-,8 + 4,512,Yes,-,272,-,-,5,2,"Dual Watchdog, RTC, SysTick",2,16,-,-,-,-,1,-,1,-,-,-,-,-,2,-,3,4,3,3,4,-,-,2,SD/MMC,"FMC, Octo SPI",No,USB FS,"ECDSA, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,-,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H523VC,"High-performance, Arm Cortex-M33, MCU with 256-Kbyte Flash, 272-Kbyte RAM, 250 MHz CPU",Active,"LQFP 100 14x14x1.4 mm, UFBGA 100 7x7x0.6 P 0.5 mm",Arm Cortex-M33,250,Single-precision FPU,-,-,8 + 4,256,Yes,-,272,-,-,5,2,"Dual Watchdog, RTC, SysTick",2,16,-,-,-,-,1,-,1,-,-,-,-,-,-,-,3,4,3,3,4,-,-,2,SD/MMC,"FMC, Octo SPI",No,USB FS,"ECDSA, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,-,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H523VE,"High-performance, Arm Cortex-M33, MCU with 512-Kbyte Flash, 272-Kbyte RAM, 250 MHz CPU",Active,"LQFP 100 14x14x1.4 mm, UFBGA 100 7x7x0.6 P 0.5 mm",Arm Cortex-M33,250,Single-precision FPU,-,-,8 + 4,512,Yes,-,272,-,-,5,2,"Dual Watchdog, RTC, SysTick",2,16,-,-,-,-,1,-,1,-,-,-,-,-,2,-,3,4,3,3,4,-,-,2,SD/MMC,"FMC, Octo SPI",No,USB FS,"ECDSA, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,-,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H523ZC,"High-performance, Arm Cortex-M33, MCU with 256-Kbyte Flash, 272-Kbyte RAM, 250 MHz CPU",Active,"LQFP 144 20x20x1.4 mm, UFBGA 144 10x10x0.6 P 0.8 mm",Arm Cortex-M33,250,Single-precision FPU,-,-,8 + 4,256,Yes,-,272,-,-,5,2,"Dual Watchdog, RTC, SysTick",2,20,-,-,-,-,1,-,1,-,-,-,-,-,-,-,3,4,3,3,4,-,-,2,SD/MMC,"FMC, Octo SPI",No,USB FS,"ECDSA, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H523ZE,"High-performance, Arm Cortex-M33, MCU with 512-Kbyte Flash, 272-Kbyte RAM, 250 MHz CPU",Active,"LQFP 144 20x20x1.4 mm, UFBGA 144 10x10x0.6 P 0.8 mm",Arm Cortex-M33,250,Single-precision FPU,-,-,8 + 4,512,Yes,-,272,-,-,5,2,"Dual Watchdog, RTC, SysTick",2,20,-,-,-,-,1,-,1,-,-,-,-,-,-,-,3,4,3,3,4,-,-,2,SD/MMC,"FMC, Octo SPI",No,USB FS,"ECDSA, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,-,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H533CE,"High-performance, Arm Cortex-M33, MCU with 512-Kbyte Flash, 272-Kbyte RAM, 250 MHz CPU",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm",Arm Cortex-M33,250,Single-precision FPU,-,-,8 + 4,512,Yes,-,272,-,-,5,2,"Dual Watchdog, RTC, SysTick",2,10,-,-,-,-,1,-,1,-,-,-,-,-,-,-,3,4,3,3,4,-,-,2,-,"FMC, Octo SPI",No,USB FS,"AES, ECDSA, OTF DEC, PKA, S-AES, S-ECC, S-RSA, SHA-1, SHA-2, TRNG","Abnormal Situation Handling, Application Lifecycle, Audit/Log, Crypto Engine, Identification / Authentication / Attestation, Isolation TrustZone, Secure Boot, Secure Install/Update, Secure Manufacturing, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H533HE,"High-performance, Arm Cortex-M33, MCU with 512-Kbyte Flash, 272-Kbyte RAM, 250 MHz CPU",Active,WLCSP 39 2.76x2.78x0.58 P 0.4 mm,Arm Cortex-M33,250,Single-precision FPU,-,-,8 + 4,512,Yes,-,272,-,-,5,2,"Dual Watchdog, RTC, SysTick",2,10,-,-,-,-,1,-,1,-,-,-,-,-,-,-,2,3,2,3,4,-,-,2,SD/MMC,"FMC, Octo SPI",No,USB FS,"AES, ECDSA, OTF DEC, PKA, S-AES, S-ECC, S-RSA, SHA-1, SHA-2, TRNG","Abnormal Situation Handling, Application Lifecycle, Audit/Log, Crypto Engine, Identification / Authentication / Attestation, Isolation TrustZone, Secure Boot, Secure Install/Update, Secure Manufacturing, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H533RE,"High-performance, Arm Cortex-M33, MCU with 512-Kbyte Flash, 272-Kbyte RAM, 250 MHz CPU",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M33,250,Single-precision FPU,-,-,8 + 4,512,Yes,-,272,-,-,5,2,"Dual Watchdog, RTC, SysTick",2,16,-,-,-,-,1,-,1,-,-,-,-,-,-,-,3,4,3,3,4,-,-,2,SD/MMC,"FMC, Octo SPI",No,USB FS,"AES, ECDSA, OTF DEC, PKA, S-AES, S-ECC, S-RSA, SHA-1, SHA-2, TRNG","Abnormal Situation Handling, Application Lifecycle, Audit/Log, Crypto Engine, Identification / Authentication / Attestation, Isolation TrustZone, Secure Boot, Secure Install/Update, Secure Manufacturing, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H533VE,"High-performance, Arm Cortex-M33, MCU with 512-Kbyte Flash, 272-Kbyte RAM, 250 MHz CPU",Active,"LQFP 100 14x14x1.4 mm, UFBGA 100 7x7x0.6 P 0.5 mm",Arm Cortex-M33,250,Single-precision FPU,-,-,8 + 4,512,Yes,-,272,-,-,5,2,"Dual Watchdog, RTC, SysTick",2,16,-,-,-,-,1,-,1,-,-,-,-,-,-,-,3,4,3,3,4,-,-,2,SD/MMC,"FMC, Octo SPI",No,USB FS,"AES, ECDSA, OTF DEC, PKA, S-AES, S-ECC, S-RSA, SHA-1, SHA-2, TRNG","Abnormal Situation Handling, Application Lifecycle, Audit/Log, Crypto Engine, Identification / Authentication / Attestation, Isolation TrustZone, Secure Boot, Secure Install/Update, Secure Manufacturing, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H533ZE,"High-performance, Arm Cortex-M33, MCU with 512-Kbyte Flash, 272-Kbyte RAM, 250 MHz CPU",Active,"LQFP 144 20x20x1.4 mm, UFBGA 144 10x10x0.6 P 0.8 mm",Arm Cortex-M33,250,Single-precision FPU,-,-,8 + 4,512,Yes,-,272,-,-,5,2,"Dual Watchdog, RTC, SysTick",2,20,-,-,-,-,1,-,1,-,-,-,-,-,-,-,3,4,3,3,4,-,-,2,SD/MMC,"FMC, Octo SPI",No,USB FS,"AES, ECDSA, OTF DEC, PKA, S-AES, S-ECC, S-RSA, SHA-1, SHA-2, TRNG","Abnormal Situation Handling, Application Lifecycle, Audit/Log, Crypto Engine, Identification / Authentication / Attestation, Isolation TrustZone, Secure Boot, Secure Install/Update, Secure Manufacturing, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H562AG,"High-performance, Arm Cortex-M33 with TrustZone, MCU with 1-MByte Flash, 640-Kbyte RAM, 250 MHz CPU",Active,UFBGA 169 7x7x0.6 P 0.5 mm,Arm Cortex-M33,250,Single-precision FPU,"Cordic, FMAC",250,8 + 4,1024,Yes,-,640,-,-,16,2,"Dual Watchdog, RTC, SysTick",2,20,-,-,-,-,2,-,-,136,-,-,-,-,1,-,4,6,3,6,7,-,-,-,"Ethenet, Parallel camera interface, SAI, SD/MMC","FMC, Octo SPI",Yes,"USB FS, USB Type-C","HMAC, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,111,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H562AI,"High-performance, Arm Cortex-M33 with TrustZone, MCU with 2-Mbyte Flash, 640-Kbyte RAM, 250 MHz CPU",Active,UFBGA 169 7x7x0.6 P 0.5 mm,Arm Cortex-M33,250,Single-precision FPU,"Cordic, FMAC",250,8 + 4,2048,Yes,-,640,-,-,16,2,"Dual Watchdog, RTC, SysTick",2,20,-,-,-,-,2,-,-,136,-,-,-,-,1,-,4,6,3,6,7,-,-,1,"Parallel camera interface, SAI, SD/MMC","FMC, Octo SPI",Yes,"USB FS, USB Type-C","HMAC, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,120,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H562IG,"High-performance, Arm Cortex-M33 with TrustZone, MCU with 1-MByte Flash, 640-Kbyte RAM, 250 MHz CPU",Active,"LQFP 176 24x24x1.4 mm, UFBGA 176+25 10x10x0.6 P 0.65 mm",Arm Cortex-M33,250,Single-precision FPU,"Cordic, FMAC",250,8 + 4,1024,Yes,-,640,-,-,16,2,"Dual Watchdog, RTC, SysTick",2,20,-,-,-,-,2,-,-,140,-,-,-,-,1,-,4,6,3,6,7,-,-,1,"Parallel camera interface, SAI, SD/MMC","FMC, Octo SPI",Yes,"USB FS, USB Type-C","HMAC, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,120,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H562II,"High-performance, Arm Cortex-M33 with TrustZone, MCU with 2-MByte Flash, 640-Kbyte RAM, 250 MHz CPU",Active,"LQFP 176 24x24x1.4 mm, UFBGA 176+25 10x10x0.6 P 0.65 mm",Arm Cortex-M33,250,Single-precision FPU,"Cordic, FMAC",250,8 + 4,2048,Yes,-,640,-,-,16,2,"Dual Watchdog, RTC, SysTick",2,20,-,-,-,-,2,-,-,140,-,-,-,-,1,-,4,6,3,6,7,-,-,1,"Parallel camera interface, SAI, SD/MMC","FMC, Octo SPI",Yes,"USB FS, USB Type-C","HMAC, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,120,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H562RG,"High-performance, Arm Cortex-M33 with TrustZone, MCU with 1-MByte Flash, 640-Kbyte RAM, 250 MHz CPU",Active,"LQFP 64 10x10x1.4 mm, VFQFPN 68 8x8x1.0 mm",Arm Cortex-M33,250,Single-precision FPU,"Cordic, FMAC",250,8 + 4,1024,Yes,-,640,-,-,16,2,"Dual Watchdog, RTC, SysTick",2,16,-,-,-,-,2,-,-,53,-,-,-,-,1,-,4,4,3,5,6,-,-,1,"Parallel camera interface, SAI, SD/MMC","FMC, Octo SPI",Yes,"USB FS, USB Type-C","HMAC, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,120,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H562RI,"High-performance, Arm Cortex-M33 with TrustZone, MCU with 2-Mbyte Flash, 640-Kbyte RAM, 250 MHz CPU",Active,"LQFP 64 10x10x1.4 mm, VFQFPN 68 8x8x1.0 mm",Arm Cortex-M33,250,Single-precision FPU,"Cordic, FMAC",250,8 + 4,2048,Yes,-,640,-,-,16,2,"Dual Watchdog, RTC, SysTick",2,16,-,-,-,-,2,-,-,53,-,-,-,-,1,-,4,4,3,5,6,-,-,1,"Parallel camera interface, SAI, SD/MMC","FMC, Octo SPI",Yes,"USB FS, USB Type-C","HMAC, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,120,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H562VG,"High-performance, Arm Cortex-M33 with TrustZone, MCU with 1-MByte Flash, 640-Kbyte RAM, 250 MHz CPU",Active,LQFP 100 14x14x1.4 mm,Arm Cortex-M33,250,Single-precision FPU,"Cordic, FMAC",250,8 + 4,1024,Yes,-,640,-,-,16,2,"Dual Watchdog, RTC, SysTick",2,16,-,-,-,-,2,-,-,80,-,-,-,-,1,-,4,5,3,6,7,-,-,1,"Parallel camera interface, SAI, SD/MMC","FMC, Octo SPI",Yes,"USB FS, USB Type-C","HMAC, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,120,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H562VI,"High-performance, Arm Cortex-M33 with TrustZone, MCU with 2-Mbyte Flash, 640-Kbyte RAM, 250 MHz CPU",Active,LQFP 100 14x14x1.4 mm,Arm Cortex-M33,250,Single-precision FPU,"Cordic, FMAC",250,8 + 4,2048,Yes,-,640,-,-,16,2,"Dual Watchdog, RTC, SysTick",2,16,-,-,-,-,2,-,-,80,-,-,-,-,1,-,4,5,3,6,7,-,-,1,"Parallel camera interface, SAI, SD/MMC","FMC, Octo SPI",Yes,"USB FS, USB Type-C","HMAC, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,120,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H562ZG,"High-performance, Arm Cortex-M33 with TrustZone, MCU with 1-MByte Flash, 640-Kbyte RAM, 250 MHz CPU",Active,LQFP 144 20x20x1.4 mm,Arm Cortex-M33,250,Single-precision FPU,"Cordic, FMAC",250,8 + 4,1024,Yes,-,640,-,-,16,2,"Dual Watchdog, RTC, SysTick",2,20,-,-,-,-,2,-,-,112,-,-,-,-,1,-,4,6,3,6,7,-,-,1,"Parallel camera interface, SAI, SD/MMC","FMC, Octo SPI",Yes,"USB FS, USB Type-C","HMAC, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,111,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H562ZI,"High-performance, Arm Cortex-M33 with TrustZone, MCU with 2-Mbyte Flash, 640-Kbyte RAM, 250 MHz CPU",Active,LQFP 144 20x20x1.4 mm,Arm Cortex-M33,250,Single-precision FPU,"Cordic, FMAC",250,8 + 4,2048,Yes,-,640,-,-,16,2,"Dual Watchdog, RTC, SysTick",2,20,-,-,-,-,2,-,-,112,-,-,-,-,1,-,4,6,3,6,7,-,-,1,"Parallel camera interface, SAI, SD/MMC","FMC, Octo SPI",Yes,"USB FS, USB Type-C","HMAC, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,111,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H563AG,"High-performance, Arm Cortex-M33 with TrustZone, MCU with 1-MByte Flash, 640-Kbyte RAM, 250 MHz CPU",Active,UFBGA 169 7x7x0.6 P 0.5 mm,Arm Cortex-M33,250,Single-precision FPU,"Cordic, FMAC",250,8 + 4,1024,Yes,-,640,-,-,20,2,"Dual Watchdog, RTC, SysTick",2,20,-,-,-,-,2,-,-,-,-,-,-,-,2,-,4,6,3,6,7,100Mbps (IEEE 1588),1,1,"Ethenet, Parallel camera interface, SAI, SD/MMC","FMC, Octo SPI",Yes,"USB FS, USB Type-C","ECDSA, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,111,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H563AI,"High-performance, Arm Cortex-M33 with TrustZone, MCU with 2-MByte Flash, 640-Kbyte RAM, 250 MHz CPU",Active,UFBGA 169 7x7x0.6 P 0.5 mm,Arm Cortex-M33,250,Single-precision FPU,"Cordic, FMAC",250,8 + 4,2048,Yes,-,640,-,-,"16, 20",2,"Dual Watchdog, RTC, SysTick",2,20,-,-,-,-,"1, 2",-,-,-,Intenal,-,-,-,2,-,4,6,3,6,7,100Mbps (IEEE 1588),1,1,"Ethenet, Parallel camera interface, SAI, SD/MMC","FMC, Octo SPI",Yes,"USB FS, USB Type-C","ECDSA, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,111,-40,125,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H563IG,"High-performance, Arm Cortex-M33 with TrustZone, MCU with 1-MByte Flash, 640-Kbyte RAM, 250 MHz CPU",Active,"LQFP 176 24x24x1.4 mm, UFBGA 176+25 10x10x0.6 P 0.65 mm",Arm Cortex-M33,250,Single-precision FPU,"Cordic, FMAC",250,8 + 4,1024,Yes,-,640,-,-,16,2,"Dual Watchdog, RTC, SysTick",2,20,-,-,-,-,2,-,-,-,-,-,-,-,2,-,4,6,3,6,7,100Mbps (IEEE 1588),1,1,"Ethenet, Parallel camera interface, SAI, SD/MMC","FMC, Octo SPI",Yes,"USB FS, USB Type-C","ECDSA, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,111,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32H563II,"High-performance, Arm Cortex-M33 with TrustZone, MCU with 2-MByte Flash, 640-Kbyte RAM, 250 MHz CPU",Active,"LQFP 176 24x24x1.4 mm, UFBGA 176+25 10x10x0.6 P 0.65 mm",Arm Cortex-M33,250,Single-precision FPU,"Cordic, FMAC",250,8 + 4,2048,Yes,-,640,-,-,"16, 20",2,"Dual Watchdog, RTC, SysTick",2,20,-,-,-,-,"1, 2",-,-,-,Intenal,-,-,-,2,-,4,6,3,6,7,100Mbps (IEEE 1588),1,1,"Ethenet, Parallel camera interface, SAI, SD/MMC","FMC, Octo SPI",Yes,"USB FS, USB Type-C","ECDSA, SHA-1, SHA-2, TRNG","Isolation TrustZone, Secure Boot, Secure Install/Update, Silicon Device Lifecycle, Software IP Protection",1.62,3.6,0.03,111,-40,125,-,-,-,-,-,-,-,Yes,-,-,-,-
